date,crime_rate,state
2022-03-01,136.89,Alabama
2022-04-01,137.32,Alabama
2022-05-01,150.04,Alabama
2022-06-01,147.71,Alabama
2022-07-01,151.82,Alabama
2022-08-01,150.44,Alabama
2022-09-01,143.11,Alabama
2022-10-01,151.79,Alabama
2022-11-01,138.11,Alabama
2022-12-01,145.45,Alabama
2023-01-01,157.61,Alabama
2023-02-01,137.09,Alabama
2023-03-01,146.57,Alabama
2023-04-01,131.86,Alabama
2023-05-01,151.07,Alabama
2023-06-01,153.3,Alabama
2023-07-01,155.68,Alabama
2023-08-01,158.19,Alabama
2023-09-01,147.72,Alabama
2023-10-01,147.15,Alabama
2023-11-01,126.37,Alabama
2023-12-01,120.36,Alabama
2024-01-01,,Alabama
2024-02-01,,Alabama
2024-03-01,,Alabama
2024-04-01,,Alabama
2024-05-01,,Alabama
2024-06-01,,Alabama
2024-07-01,,Alabama
2024-08-01,,Alabama
2024-09-01,,Alabama
2024-10-01,,Alabama
1985-01-01,403.68,Alaska
1985-02-01,347.41,Alaska
1985-03-01,406.25,Alaska
1985-04-01,411.03,Alaska
1985-05-01,464.6,Alaska
1985-06-01,492.2,Alaska
1985-07-01,564.73,Alaska
1985-08-01,576.81,Alaska
1985-09-01,442.1,Alaska
1985-10-01,425.27,Alaska
1985-11-01,335.24,Alaska
1985-12-01,452.08,Alaska
1986-01-01,410.88,Alaska
1986-02-01,402.32,Alaska
1986-03-01,444.19,Alaska
1986-04-01,430.98,Alaska
1986-05-01,517.31,Alaska
1986-06-01,519.76,Alaska
1986-07-01,552.02,Alaska
1986-08-01,552.08,Alaska
1986-09-01,487.29,Alaska
1986-10-01,467.29,Alaska
1986-11-01,340.49,Alaska
1986-12-01,505.28,Alaska
1987-01-01,381.8,Alaska
1987-02-01,382.43,Alaska
1987-03-01,441.09,Alaska
1987-04-01,399.91,Alaska
1987-05-01,452.29,Alaska
1987-06-01,475.57,Alaska
1987-07-01,506.95,Alaska
1987-08-01,489.4,Alaska
1987-09-01,430.2,Alaska
1987-10-01,393.23,Alaska
1987-11-01,323.6,Alaska
1987-12-01,299.05,Alaska
1988-01-01,297.96,Alaska
1988-02-01,265.12,Alaska
1988-03-01,311.17,Alaska
1988-04-01,283.74,Alaska
1988-05-01,312.77,Alaska
